,alpha,beta,emit,sig1,sig2,sig3,converge
scipy x 93,-8.12611829473979,406.78632786790115,1.9157688414816385e-08,2.8104124855085715,3.165944976849795,4.494102966916334,0.0
gekko x 93,,,,2.8104124855085715,3.165944976849795,4.494102966916334,0.0
scipy x 94,-1.8881035545103366,76.18126201551772,8.680505482285037e-08,2.6023943825538227,2.9993663904814762,4.628072063523795,1.0
gekko x 94,,,,2.6023943825538227,2.9993663904814762,4.628072063523795,0.0
scipy x 95,-5.247890543826754,217.03282655779375,3.397377351650967e-08,2.6334844744548622,3.2502451874992198,4.72066323494217,0.0
gekko x 95,,,,2.6334844744548622,3.2502451874992198,4.72066323494217,0.0
scipy x 96,-3.9470462593920717,206.09701153626472,4.0523371205556626e-08,2.597423975891548,3.546439768786374,4.561701401535503,0.0
gekko x 96,,,,2.597423975891548,3.546439768786374,4.561701401535503,0.0
scipy x 97,-6.477512969901961,218.60913619852022,3.046427209868266e-08,2.5864267499495526,3.110020073365072,4.920284046703283,0.0
gekko x 97,,,,2.5864267499495526,3.110020073365072,4.920284046703283,0.0
scipy x 98,-5.477251799943695,291.2143890192677,2.6849947540763745e-08,2.797290037124295,3.1662717465620456,4.4047274532742104,0.0
gekko x 98,,,,2.797290037124295,3.1662717465620456,4.4047274532742104,0.0
scipy x 99,-6.068798834303846,328.1588186017476,2.314207007826623e-08,2.7437351510639068,3.126431551465206,4.311596651733516,0.0
gekko x 99,,,,2.7437351510639068,3.126431551465206,4.311596651733516,0.0
scipy x 100,-3.7393159510903327,186.08902610983526,4.6958426932190086e-08,2.596566678240487,3.719542027293739,4.738175355827295,0.0
gekko x 100,,,,2.596566678240487,3.719542027293739,4.738175355827295,0.0
scipy x 101,-9.821237663878325,518.9593106916792,1.4516482230010161e-08,2.768658733679626,3.087839474704945,4.329448839715624,0.0
gekko x 101,,,,2.768658733679626,3.087839474704945,4.329448839715624,0.0
scipy x 102,-3.2772110603893094,192.57448472689575,4.9078493545325025e-08,2.788919819501708,3.717084509337756,4.654493472315832,0.0
gekko x 102,,,,2.788919819501708,3.717084509337756,4.654493472315832,0.0
scipy x 103,-0.24543182504404357,27.881028827515994,2.697229161176147e-07,2.754358915261292,2.972576421319956,4.58955867636833,1.0
gekko x 103,,,,2.754358915261292,2.972576421319956,4.58955867636833,0.0
scipy x 104,-4.056912785568998,193.68284295021974,4.405804933757507e-08,2.6014638385184448,3.6705466194064216,4.759514616102368,0.0
gekko x 104,,,,2.6014638385184448,3.6705466194064216,4.759514616102368,0.0
scipy x 105,-0.2647605798426379,27.568909072847894,2.841800462748968e-07,2.8124346555092563,3.0501079637217132,4.758850804514746,1.0
gekko x 105,,,,2.8124346555092563,3.0501079637217132,4.758850804514746,0.0
scipy x 106,-0.7648577018186447,46.679623578328155,1.6460449751839e-07,2.794029048037684,3.0957185196924497,4.531553250400014,1.0
gekko x 106,,,,2.794029048037684,3.0957185196924497,4.531553250400014,0.0
scipy x 107,-3.1728721440440624,195.97857348918546,4.4934047065389047e-08,2.7668960090144203,3.4959933652860893,4.429631874864734,0.0
gekko x 107,,,,2.7668960090144203,3.4959933652860893,4.429631874864734,0.0
scipy x 108,-0.6793370846468555,34.233499325048484,2.074454120772904e-07,2.6906843636188085,3.0562722674642013,4.88855393570764,1.0
gekko x 108,,,,2.6906843636188085,3.0562722674642013,4.88855393570764,0.0
scipy x 109,-3.260496243997812,235.34286068106405,4.060328944350884e-08,2.675795249962094,3.751091301569965,4.363000589956739,0.0
gekko x 109,,,,2.675795249962094,3.751091301569965,4.363000589956739,0.0
